title,director,runtime,rating,id
The Roundup: Punishment,Heo Myeong-haeng,109,N/R,1017163
New Life,John Rosman,85,N/R,1148027
Cash Out,Randall Emmett,90,R,1116490
Humane,Caitlin Cronenberg,93,R,914215
Boy Kills World,Moritz Mohr,111,R,882059
Asphalt City,Jean-Stéphane Sauvaire,120,R,628922
The Greatest Hits,Ned Benson,94,PG-13,1011082
La Chimera,Alice Rohrwacher,133,NR,837335
In the Land of Saints and Sinners,Robert Lorenz,106,R,1027073
The Coffee Table,Caye Casas,90,N/R,1056380
Mars Express,Jérémie Périn,85,N/R,586810
Dragonkeeper,Salvador Simó,99,PG,588648
I Saw the TV Glow,Jane Schoenbrun,100,PG-13,858017
Evil Does Not Exist,Ryūsuke Hamaguchi,106,N/R,1156125
Jeanne du Barry,Maïwenn,117,N/R,921452
Wicked Little Letters,Thea Sharrock,100,R,975773
"LaRoy, Texas",Shane Atkinson,110,N/R,1001783
Unsung Hero,Joel Smallbone,112,PG,1115009
Blood for Dust,Rod Blackhurst,98,R,1025596
Epic Tails,David Alaux,95,PG,939338
