title,director,runtime,rating,id
The Long Game,Julio Quintana,110,N/R,1079810
Cash Out,Randall Emmett,90,R,1116490
Asphalt City,Jean-Stéphane Sauvaire,120,R,628922
Boy Kills World,Moritz Mohr,111,R,882059
In the Land of Saints and Sinners,Robert Lorenz,106,R,1027073
The Greatest Hits,Ned Benson,94,PG-13,1011082
New Life,John Rosman,85,N/R,1148027
Mars Express,Jérémie Périn,85,N/R,586810
La Chimera,Alice Rohrwacher,133,NR,837335
Humane,Caitlin Cronenberg,93,R,914215
I Saw the TV Glow,Jane Schoenbrun,100,PG-13,858017
Dragonkeeper,Salvador Simó,99,PG,588648
The Coffee Table,Caye Casas,90,N/R,1056380
Wildcat,Ethan Hawke,105,N/R,1076101
Jeanne du Barry,Maïwenn,117,N/R,921452
Blood for Dust,Rod Blackhurst,98,R,1025596
Unsung Hero,Joel Smallbone,112,PG,1115009
Catching Fire: The Story of Anita Pallenberg,Svetlana Zill,112,N/R,1122602
Jordskred,Julius Wadman,0,N/R,1269481
Wicked Little Letters,Thea Sharrock,100,R,975773
