title,director,runtime,rating,id
No Way Up,Claudio Fäh,90,R,1096197
Dune: Part Two,Denis Villeneuve,167,PG-13,693134
Land of Bad,William Eubank,113,R,969492
Dune,Denis Villeneuve,155,PG-13,438631
Red Right Hand,Eshom Nelms,111,N/R,1227816
Anyone But You,Will Gluck,103,R,1072790
Lights Out,Christian Sesma,90,R,931642
Miller's Girl,Jade Halley Bartlett,93,R,1026436
Lisa Frankenstein,Zelda Williams,102,PG-13,993784
Madame Web,S.J. Clarkson,116,PG-13,634492
Bob Marley: One Love,Reinaldo Marcus Green,104,PG-13,802219
Godzilla Minus One,Takashi Yamazaki,125,PG-13,940721
Spaceman,Johan Renck,108,R,636706
Out of Darkness,Andrew Cumming,87,R,823491
Turning Red,Domee Shi,100,PG,508947
Argylle,Matthew Vaughn,139,PG-13,848538
Camp Pleasant Lake,Thomas Walton,90,R,1196646
Perfect Days,Wim Wenders,124,PG,976893
Drive-Away Dolls,Ethan Coen,84,R,957304
Kitbull,Rosana Sullivan,9,PG,574074
Tenet,Christopher Nolan,150,PG-13,577922
Io Capitano,Matteo Garrone,121,N/R,937746
Alienoid: Return to the Future,Choi Dong-hoon,122,N/R,626412
How to Have Sex,Molly Manning Walker,91,NR,1075175
The Seeding,Barnaby Clay,100,N/R,1118033
Giannis: The Marvelous Journey,Kristen Lappas,109,N/R,1231942
Suncoast,Laura Chinn,110,R,1014209
Beautiful Wedding,Roger Kumble,95,R,1096342
Amélie,Jean-Pierre Jeunet,122,R,194
Parallel,Kourosh Ahari,77,N/R,876911
Outlaw Posse,Mario Van Peebles,108,R,1148685
The Promised Land,Nikolaj Arcel,127,N/R,980026
The Taste of Things,Tran Anh Hung,135,PG-13,964960
The Chosen Season 4 Episodes 7-8,,110,N/R,1235706
Les Misérables,Tom Hooper,158,PG-13,82695
The Sweet East,Sean Price Williams,104,NR,1010639
Ordinary Angels,Jon Gunn,117,PG,974036
Air Force One Down,James Bamford,84,R,1124127
Stopmotion,Robert Morgan,93,R,840889
Scrambled,Leah McKendrick,97,R,1073087
